objective,variant,activation,loss,fitness_guided,success,best_fitness,generation,elapsed_time
HIFF,dendiff_gumbel,tanh,huber,0,0.0,183.0,130.0,268.8185
HIFF,dendiff_gumbel,tanh,huber,1,0.0,185.1,129.1,284.486
HIFF,dendiff_gumbel,tanh,mse,0,0.0,228.6,119.45,270.396
HIFF,dendiff_gumbel,tanh,mse,1,0.0,225.7,137.05,271.78499999999997
HIFF,dendiff_gumbel,tanh,ranking,0,1.0,448.0,50.15,71.811
HIFF,dendiff_gumbel,tanh,ranking,1,0.75,410.6,45.65,121.83500000000001
HIFF,dendiff_gumbel,tanh,weighted_mse,0,1.0,448.0,59.8,72.787
HIFF,dendiff_gumbel,tanh,weighted_mse,1,0.95,443.2,32.95,57.229499999999994
KDeceptive3,dendiff_gumbel,elu,huber,0,0.0,25.25,100.45,252.661
KDeceptive3,dendiff_gumbel,elu,huber,1,0.0,25.9,103.45,320.375
KDeceptive3,dendiff_gumbel,elu,mse,0,0.0,27.65,93.5,219.04000000000002
KDeceptive3,dendiff_gumbel,elu,mse,1,0.05,28.45,112.1,226.47150000000002
KDeceptive3,dendiff_gumbel,elu,ranking,0,0.0,27.75,107.5,252.37399999999997
KDeceptive3,dendiff_gumbel,elu,ranking,1,1.0,30.0,11.7,25.743000000000002
KDeceptive3,dendiff_gumbel,elu,weighted_mse,0,0.75,29.7,60.3,110.801
KDeceptive3,dendiff_gumbel,elu,weighted_mse,1,0.75,29.65,21.7,133.05
KDeceptive3,dendiff_gumbel,relu,huber,0,0.0,25.1,116.25,257.9805
KDeceptive3,dendiff_gumbel,relu,huber,1,0.0,24.95,117.05,275.5875
KDeceptive3,dendiff_gumbel,relu,mse,0,0.0,27.6,101.2,204.715
KDeceptive3,dendiff_gumbel,relu,mse,1,0.0,28.1,78.4,228.43850000000003
KDeceptive3,dendiff_gumbel,relu,ranking,0,0.0,27.65,132.2,256.4035
KDeceptive3,dendiff_gumbel,relu,ranking,1,1.0,30.0,20.2,40.266000000000005
KDeceptive3,dendiff_gumbel,relu,weighted_mse,0,0.2,28.5,107.75,210.385
KDeceptive3,dendiff_gumbel,relu,weighted_mse,1,0.9,29.9,109.0,113.39200000000001
KDeceptive3,dendiff_gumbel,tanh,huber,0,0.0,25.2,120.15,247.406
KDeceptive3,dendiff_gumbel,tanh,huber,1,0.0,25.25,83.9,271.6085
KDeceptive3,dendiff_gumbel,tanh,mse,0,0.0,27.9,123.15,229.1165
KDeceptive3,dendiff_gumbel,tanh,mse,1,0.1,27.9,100.6,224.2685
KDeceptive3,dendiff_gumbel,tanh,ranking,0,0.1,27.65,81.1,241.3795
KDeceptive3,dendiff_gumbel,tanh,ranking,1,1.0,30.0,14.45,27.5645
KDeceptive3,dendiff_gumbel,tanh,weighted_mse,0,0.95,29.95,16.2,32.5865
KDeceptive3,dendiff_gumbel,tanh,weighted_mse,1,0.95,29.95,13.2,36.0015
KDeceptive5,dendiff_gumbel,elu,huber,0,0.0,24.4,114.4,251.30349999999999
KDeceptive5,dendiff_gumbel,elu,huber,1,0.0,24.35,113.6,254.71149999999997
KDeceptive5,dendiff_gumbel,elu,mse,0,0.0,28.2,90.35,179.31099999999998
KDeceptive5,dendiff_gumbel,elu,mse,1,0.0,27.6,52.4,231.74349999999998
KDeceptive5,dendiff_gumbel,elu,ranking,0,0.0,25.3,36.1,234.8005
KDeceptive5,dendiff_gumbel,elu,ranking,1,0.0,25.2,7.25,256.6405
KDeceptive5,dendiff_gumbel,elu,weighted_mse,0,0.05,29.05,96.55,216.71750000000003
KDeceptive5,dendiff_gumbel,elu,weighted_mse,1,0.1,28.5,40.5,209.4825
KDeceptive5,dendiff_gumbel,relu,huber,0,0.0,24.55,94.5,257.9335
KDeceptive5,dendiff_gumbel,relu,huber,1,0.0,24.25,78.05,267.692
KDeceptive5,dendiff_gumbel,relu,mse,0,0.0,24.45,59.8,182.334
KDeceptive5,dendiff_gumbel,relu,mse,1,0.0,24.05,5.35,201.02849999999998
KDeceptive5,dendiff_gumbel,relu,ranking,0,0.0,24.3,21.9,247.219
KDeceptive5,dendiff_gumbel,relu,ranking,1,0.0,24.2,20.55,313.257
KDeceptive5,dendiff_gumbel,relu,weighted_mse,0,0.0,24.4,42.6,237.5175
KDeceptive5,dendiff_gumbel,relu,weighted_mse,1,0.0,24.15,5.25,221.5915
KDeceptive5,dendiff_gumbel,tanh,huber,0,0.0,24.4,104.25,267.299
KDeceptive5,dendiff_gumbel,tanh,huber,1,0.0,24.4,106.3,282.471
KDeceptive5,dendiff_gumbel,tanh,mse,0,0.0,28.1,72.0,177.111
KDeceptive5,dendiff_gumbel,tanh,mse,1,0.0,27.6,69.4,222.283
KDeceptive5,dendiff_gumbel,tanh,ranking,0,0.0,24.85,40.3,215.80949999999999
KDeceptive5,dendiff_gumbel,tanh,ranking,1,0.0,24.55,37.75,242.07049999999998
KDeceptive5,dendiff_gumbel,tanh,weighted_mse,0,0.35,28.45,27.55,172.708
KDeceptive5,dendiff_gumbel,tanh,weighted_mse,1,0.15,27.9,27.45,241.7035
OneMax,dendiff_gumbel,elu,huber,0,0.0,27.45,73.6,227.038
OneMax,dendiff_gumbel,elu,huber,1,1.0,30.0,28.25,41.031
OneMax,dendiff_gumbel,elu,mse,0,1.0,30.0,13.3,23.6185
OneMax,dendiff_gumbel,elu,mse,1,1.0,30.0,3.2,16.972
OneMax,dendiff_gumbel,elu,ranking,0,1.0,30.0,4.3,17.6355
OneMax,dendiff_gumbel,elu,ranking,1,1.0,30.0,2.6,15.516499999999999
OneMax,dendiff_gumbel,elu,weighted_mse,0,1.0,30.0,4.75,18.692500000000003
OneMax,dendiff_gumbel,elu,weighted_mse,1,1.0,30.0,2.5,15.544
OneMax,dendiff_gumbel,relu,huber,0,0.0,27.6,75.25,249.56799999999998
OneMax,dendiff_gumbel,relu,huber,1,0.0,28.45,91.1,266.62
OneMax,dendiff_gumbel,relu,mse,0,1.0,30.0,79.95,65.8995
OneMax,dendiff_gumbel,relu,mse,1,1.0,30.0,4.55,18.329500000000003
OneMax,dendiff_gumbel,relu,ranking,0,1.0,30.0,5.35,19.3
OneMax,dendiff_gumbel,relu,ranking,1,1.0,30.0,2.95,16.875
OneMax,dendiff_gumbel,relu,weighted_mse,0,1.0,30.0,4.95,18.3865
OneMax,dendiff_gumbel,relu,weighted_mse,1,1.0,30.0,3.25,16.7285
OneMax,dendiff_gumbel,tanh,huber,0,0.0,27.85,68.1,274.98850000000004
OneMax,dendiff_gumbel,tanh,huber,1,1.0,30.0,10.2,24.371000000000002
OneMax,dendiff_gumbel,tanh,mse,0,1.0,30.0,7.0,17.148
OneMax,dendiff_gumbel,tanh,mse,1,1.0,30.0,2.9,16.8155
OneMax,dendiff_gumbel,tanh,ranking,0,1.0,30.0,3.7,17.1595
OneMax,dendiff_gumbel,tanh,ranking,1,1.0,30.0,2.5,16.177500000000002
OneMax,dendiff_gumbel,tanh,weighted_mse,0,1.0,30.0,3.9,17.4605
OneMax,dendiff_gumbel,tanh,weighted_mse,1,1.0,30.0,2.3,15.0215
