problem,family,n,group,algorithm,temperature,temp_str,train_set,seed,edges,n_selected,f1,time,train_sp,test_sp,test1_sp,test2_sp,train_ll,test_ll,test1_ll,test2_ll,train_kl,test_kl,test1_kl,test2_kl,ll_s0,kl_s0,sp_s0,ll_s1,kl_s1,sp_s1,ll_s2,kl_s2,sp_s2
Braid_100,Braid,100,large,dt,0.1,0.1,0,1,282.0,800.0,0.036745407,324.95445,0.49207532,0.036613557500000005,0.026058547,0.047168568,-167.01547,-183.272425,-183.10086,-183.44399,38.421811,29.518421500000002,33.264467,25.772376,-167.01547,38.421811,0.49207532,-183.10086,33.264467,0.026058547,-183.44399,25.772376,0.047168568
Braid_100,Braid,100,large,dt,1.0,1.0,0,1,0.0,800.0,0.0,0.94579554,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,dt,10.0,10,0,1,0.0,800.0,0.0,0.80984735,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,fi_k2,0.1,0.1,0,1,294.0,800.0,0.03562341,5.0761125,0.50242169,0.0285387593,0.05551685,0.0015606686,-165.7141,-184.13328,-184.16346,-184.1031,34.935696,34.575492,40.858962,28.292022,-165.7141,34.935696,0.50242169,-184.16346,40.858962,0.05551685,-184.1031,28.292022,0.0015606686
Braid_100,Braid,100,large,fi_k2,1.0,1.0,0,1,0.0,800.0,0.0,3.4492531,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,fi_k2,10.0,10,0,1,0.0,800.0,0.0,3.3309202,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,k2,0.1,0.1,0,1,294.0,800.0,0.086513995,3.3504953,0.51401267,0.004248368000000001,0.035740885,-0.027244149,-165.51099,-184.709625,-184.896,-184.52325,35.421207,36.995402,40.079535,33.911269,-165.51099,35.421207,0.51401267,-184.896,40.079535,0.035740885,-184.52325,33.911269,-0.027244149
Braid_100,Braid,100,large,k2,1.0,1.0,0,1,0.0,800.0,0.0,0.25767922,0.11316988,-0.041915239,-0.059509516,-0.024320962,-138.3672,-138.62877500000002,-138.60308,-138.65447,0.35822404,0.36594851500000003,0.37876459,0.35313244,-138.3672,0.35822404,0.11316988,-138.60308,0.37876459,-0.059509516,-138.65447,0.35313244,-0.024320962
Braid_100,Braid,100,large,k2,10.0,10,0,1,0.0,800.0,0.0,0.25933528,0.077256376,-0.042290096,-0.064494127,-0.020086065,-138.36372,-138.62221499999998,-138.59794,-138.64649,0.34550727,0.33410839000000003,0.34400044,0.32421634,-138.36372,0.34550727,0.077256376,-138.59794,0.34400044,-0.064494127,-138.64649,0.32421634,-0.020086065
Braid_100,Braid,100,large,k2_ensemble,0.1,0.1,0,1,151.0,800.0,0.032,2.7483668,0.36382657,0.007181699999999999,0.055837851,-0.041474451,-181.34277,-188.566685,-188.4887,-188.64467,52.210513,27.319744,19.533338,35.10615,-181.34277,52.210513,0.36382657,-188.4887,19.533338,0.055837851,-188.64467,35.10615,-0.041474451
